query,match,comments
Cranfillia fullagari (F.Muell.) Gasper & V.A.O.Dittrich,Cranfillia fullagarii (F.Muell.) Gasper & V.A.O.Dittrich,NA
Ctenitis brevipetiolulata Li Bing Zhang & Yi F.Duan,Ctenitis brevipetiolulata Li Bing Zhang & Y.F.Duan,NA
"Ctenitis bullescens Rouhan, Li Bing Zhang & Yi F.Duan","Ctenitis bullescens Rouhan, Li Bing Zhang & Y.F.Duan",NA
Ctenitis cerea Li Bing Zhang & Yi F.Duan,Ctenitis cerea Li Bing Zhang & Y.F.Duan,NA
Ctenitis comorensis Li Bing Zhang & Yi F.Duan,Ctenitis comorensis Li Bing Zhang & Y.F.Duan,NA
Ctenitis dentata Li Bing Zhang & Yi F.Duan,Ctenitis dentata Li Bing Zhang & Y.F.Duan,NA
Ctenitis mayottensis Li Bing Zhang & Yi F.Duan,Ctenitis mayottensis Li Bing Zhang & Y.F.Duan,NA
"Ctenitis reunionensis Hennequin, Li Bing Zhang & Yi F.Duan","Ctenitis reunionensis Hennequin, Li Bing Zhang & Y.F.Duan",NA
Ctenitis tardieu-blotiae Li Bing Zhang & Yi F.Duan,Ctenitis tardieu-blotiae Li Bing Zhang & Y.F.Duan,NA
Cyathea brevipinna Benth.,Cyathea brevipinna Bak.; Benth.,NA
Cyathea humilis Hieron.,Cyathea humilis Hier.,NA
Cyathea marattioides Willd. ex Kaulf.,Cyathea marattioides Willd.; Klf.,NA
Cyathea milnei Hook.f.,Cyathea milnei Hk.; Hk.fil.,NA
Cyathea patens hort. ex Houlston & Moore,Cyathea patens hort.; Houlst. & T.Moore,NA
Cyathea punctata R.C.Moran & B.llg.,Cyathea punctata R.C.Moran & B.Øllg.,NA
Cyathea squamipes H.Karst.,Cyathea squamipes Kl.; Karst.,NA
Cyathea tenera T.Moore,Cyathea tenera (J.Sm.) Moore,NA
Cyrtomium fortunei var. clivicola (Makino) Tagawa,Cyrtomium fortunei var. clivicolum (Makino) Tagawa,NA
Cystopteris chinensis Ching,Cystopteris chinensis (Ching) X.C.Zhang & R.Wei,NA
Cystopteris laurentiana (Weath.) Blasdell,Cystopteris × laurentiana (Weath.) Blasdell,NA
Cystopteris tennesseensis Shaver,Cystopteris × tennesseensis Shaver,NA
Danaea trichomanoides Spruce ex T.Moore,Danaea trichomanoides Spruce; Moore,NA
Danaea x jamaicensis Underw.,Danaea jamaicensis Underw.,NA
Davallia denticulata (Burm.f.) Mett.,Davallia denticulata (Burm.) Mett.; Kuhn,NA
Davallia tasmani Field,Davallia tasmanii Field,NA
Davallia tyermanii (T.Moore) Baker,Davallia tyermannii (T.Moore) H.J.Veitch,NA
Dennstaedtia auriculata Navarr. & B.llg.,Dennstaedtia auriculata Navarrete & B.Øllg.,NA
Dennstaedtia davallioides (R.Br.) T.Moore,Dennstaedtia davallioides (R.Br.) Moore,NA
Dennstaedtia hirsuta (Sw.) Mett. ex Miq.,Dennstaedtia hirsuta Mett.; Miq.,NA
Dennstaedtia macrosora Navarr. & B.llg.,Dennstaedtia macrosora H.Navarrete & B.Øllg.,NA
Dennstaedtia scandens (Blume) T.Moore,Dennstaedtia scandens (Blume) Moore,NA
Dennstaedtia werckleana (Christ) Navarrete & B.llg.,Dennstaedtia werckleana (Christ) Navarrete & B.Øllg.,NA
Deparia nakaikeana Fraser-Jenk.,Deparia × nakaikeana Fraser-Jenk.,NA
Dicranopteris taiwanensis Ching & P.S.Chiu,Dicranopteris taiwanensis Ching & Chiu,NA
Diplazium australe (R.Br.) Wakef.,Diplazium australe (R.Br.) Bir,NA
Diplazium balliviani Rosenst.,Diplazium ballivianii Rosenst.,NA
Diplazium nipponicum Tagawa,Diplazium nipponicum Tgawa,NA
Diplazium petrii Tardieu,Diplazium petri Tardieu,NA
Diplazium sanderi (C.Chr.) Pacheco,Diplazium sanderi (C.Chr.) L.Pacheco,NA
Diplazium sibiricum var. sibiricum,Diplazium sibiricum (Turcz. ex Kunze) Sa.Kurata,NA
Diplazium squamigerum (Mett.) Matsum.,Diplazium squamigerum (Mett.) Christ,NA
